short name,long name,url,alternative url,version,homepage,inferred
BIBLIOTEK-O,bibliotek-o ontology,https://bibliotek-o.org/1.1/ontology.owl,https://data.bioontology.org/ontologies/BIBLIOTEK-O/submissions/3/download?apikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,1.1.0,https://bibliotek-o.org/,yes
BIBO,Bibliographic Ontology,http://purl.org/ontology/bibo/,https://raw.githubusercontent.com/structureddynamics/Bibliographic-Ontology-BIBO/master/bibo.owl,1.3,https://bibliontology.com/,yes
BLTERMS,British Library Terms,http://www.bl.uk/schemas/bibliographic/blterms,http://www.bl.uk/schemas/bibliographic/blterms-v1-5.rdf,1.5,https://bnb.data.bl.uk/docs,yes
CIDOC-CRM,CIDOC Conceptual Reference Model,http://www.cidoc-crm.org/sites/default/files/cidoc_crm_v6.2.1-2018April.rdfs,,6.2.1 (the latest RDF version),http://www.cidoc-crm.org/,yes
CRM-ARCHAEO,CRMarchaeo - Excavation model,http://www.cidoc-crm.org/crmarchaeo/sites/default/files/CRMarchaeo_v1.4.1.rdfs,,1.4.1 (the latest RDF version),http://www.cidoc-crm.org/crmarchaeo/,yes
CULTURALIS,Cultural Institution and Site Ontology,http://culturalis.org/cult/0.1/culturalis0.1.rdf,,0.1,http://culturalis.org/cult/,yes
EAC-CPF,"Encoded Archival Context for Corporate Bodies, Persons, and Families Ontology",http://culturalis.org/eac-cpf/eac-cpf.rdf,,2,http://culturalis.org/eac-cpf/,yes
FABIO,FRBR-aligned Bibliographic Ontology,http://purl.org/spar/fabio,https://raw.githubusercontent.com/SPAROntologies/fabio/master/docs/2019-02-19/fabio.xml,2.1,,yes
FRAD,Functional Requirements for Authority Data model,http://iflastandards.info/ns/fr/frad.xml,,--,https://www.iflastandards.info/fr/frad,yes
FRBR-CORE,Functional Requirements for Bibliographic Records - Core,http://purl.org/vocab/frbr/frbr-core-20050810.rdf,,20050810,https://vocab.org/frbr/core,yes
FRBR-EXT,Functional Requirements for Bibliographic Records - Extended,http://purl.org/vocab/frbr/frbr-extended-20050810.rdf,,20050810,https://vocab.org/frbr/extended,yes
FRBR-OO,Functional Requirements for Bibliographic Records,http://www.cidoc-crm.org/frbroo/sites/default/files/FRBR2.4-draft.rdfs,,2.4,http://www.cidoc-crm.org/frbroo/,yes
HICO,Historical Context Ontology,https://raw.githubusercontent.com/marilenadaquino/hico/master/current/hico.owl,http://150.146.207.114/lode/source?url=http://marilenadaquino.github.io/hico/current/hico.owl,2,https://w3id.org/hico,yes
HOLDING,Holding Ontology,http://purl.org/ontology/holding,,0.1.2+35,http://purl.org/ontology/holding,yes
ISBD,International Standard Bibliographic Description,http://iflastandards.info/ns/isbd/elements/,http://iflastandards.info/ns/isbd/elements.xml,--,,yes
MADS,Metadata Authority Description Standard,http://id.loc.gov/ontologies/madsrdf/v1.rdf,,1.4.0,,yes
NOMISMA,Nomisma Ontology,http://nomisma.org/ontology/191223.rdf,,191223,http://nomisma.org/ontology,yes
OAD,Ontology of Archival Description,http://culturalis.org/oad/oad.rdf,,1.3,http://culturalis.org/oad/,yes
OCSA,Ontology of Cultural Organizations' Services and Access,http://culturalis.org/ocsa/ocsa1.0.0.rdf,,1,http://culturalis.org/ocsa/,yes
PRESS-OO,PRESSoo,http://www.cidoc-crm.org/pressoo/sites/default/files/PRESSoo_v1.0.rdfs,,1,http://www.cidoc-crm.org/pressoo/,yes
RDA_full,"RDA Resource Description and Access Registry
RDA-A
RDA-C
RDA-E
RDA-I
RDA-M
RDA-N
RDA-P
RDA-T
RDA-U
RDA-W
RDA-X","
https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/c.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/a.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/m.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/i.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/e.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/u.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/w.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/p.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/n.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/t.ttl

https://raw.githubusercontent.com/RDARegistry/RDA-Vocabularies/v3.3.0/ttl/Elements/x.ttl",,3.3.0,http://www.rdaregistry.info/,yes (inferred versions of all modules have been merged)
RIC-O,Records in Contexts Ontology,https://www.ica.org/standards/RiC/RiC-O_v0-2.rdf,,0.2,https://www.ica.org/standards/RiC/ontology.html,yes
ROAR,Reconstructions and Observations in Archival Resources,https://w3id.org/roar,https://leonvanwissen.nl/vocab/roar/roar.rdf,0.1,,yes
VIAF,Virtual International Authority File Ontology,http://viaf.org/viaf.owl,,--,http://viaf.org/,yes
VIR,Visual Representation Ontology,http://w3id.org/vir#,https://ncarboni.github.io/vir/vir.ttl,0.9,http://w3id.org/vir,yes
LAWD,Linked Ancient World Data Ontology,http://lawd.info/ontology/,https://raw.githubusercontent.com/lawdi/LAWD/master/ontology/lawd.rdf,1,https://github.com/lawdi/LAWD,no
MODS,Metadata Object Description Schema,http://www.loc.gov/standards/mods/modsrdf/v1/modsrdf.owl,,1,https://www.loc.gov/standards/mods/modsrdf/,no
OAENTRY,OA Entry (Scheda OA) Ontology,http://purl.org/emmedi/oaentry,http://oaentry-ontology.sourceforge.net/owl/oaentry.owl,--,,no
SAWS,Sharing Ancient Wisdoms Ontology,https://ancientwisdoms.ac.uk/media/ontology/sawsOntologyV2.0.owl.xml,,2,https://ancientwisdoms.ac.uk/method/ontology/index.html,no
SNAP,Standards for Networking Ancient Prosopographies,http://snap.dighum.kcl.ac.uk/owl/snap.owl,,--,http://snapdrgn.net/ontology,no
POSTDATA_full,POSTDATA,"http://postdata.linhd.uned.es/ontology/postdata-core/documentation/ontology.xml (POSTDATA-CORE 1.2)

http://postdata.linhd.uned.es/ontology/postdata-dates/documentation/ontology.xml (POSTDATA-DATES 1.0)

http://postdata.linhd.uned.es/ontology/postdata-literaryAnalysisElements/documentation/ontology.xml (POSTDATA-LITER 1.0)

http://postdata.linhd.uned.es/ontology/postdata-structuralElements/documentation/ontology.xml (POSTDATA-STRUCT 1.0)

http://postdata.linhd.uned.es/ontology/postdata-prosodicElements/documentation/ontology.xml (POSTDATA-PROSOD 1.0)",https://raw.githubusercontent.com/linhd-postdata/core-ontology/master/postdata-core.owl,,,yes (all inferred versions of the modules have been merged)
ARCO_full,ArCo (Architecture of Knowledge) ontology network,"https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/arco/1.2/arco.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/catalogue/1.2/catalogue.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/cataloguing-campaign/0.1/cataloguing-campaign.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/context-description/1.2/context-description.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/core/1.2/core.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/cultural-event/1.1/cultural-event.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/denotative-description/1.2/denotative-description.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/immovable-property/0.2/immovable-property.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/location/1.2/location.owl

https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/movable-property/0.2/movable-property.owl","https://raw.githubusercontent.com/ICCD-MiBACT/ArCo/master/ArCo-release/ontologie/arco/1.2/arco.owl in its inferred version, it imports all the other modules
",,https://w3id.org/arco,yes
