community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_paperdyne12,75,proposed By Hidden Conflict Program Comitee Chair,[proposed By [P]] [Hidden Conflict [C]] [Program Comitee Chair [C]] ,"frame:Statement,frame:Hiding_objects,frame:Eclipse,frame:Hostile_encounter,frame:Project,frame:Purpose,","wn30:synset-propose-verb-1,wn30:synset-by-adverb-1,wn30:synset-hide-verb-1,wn30:synset-conflict-noun-1,wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,","wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-hide-verb-1 - frame:Hiding_objects - frame:Event
wn30:synset-hide-verb-1 - frame:Eclipse
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
","wn30:synset-chair-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne17,17,Contribution File Author submits Main submitted By,[Contribution File [C]] [Author [C]] [submits [P]] [Main Author [C]] [submitted By [P]] ,"frame:Giving,frame:Submitting_documents,frame:Placing,frame:Submitting_documents,frame:Expertise,frame:Importance,frame:First_rank,frame:Submitting_documents,","wn30:synset-contribution-noun-2,wn30:synset-file-verb-1,wn30:synset-writer-noun-1,wn30:synset-submit-verb-1,wn30:synset-chief-adjectivesatellite-1,wn30:synset-submit-verb-1,wn30:synset-by-adverb-1,","wn30:synset-contribution-noun-2 - frame:Giving - frame:Lose_possession_scenario
wn30:synset-file-verb-1 - frame:Submitting_documents - frame:Event
wn30:synset-file-verb-1 - frame:Placing - frame:Event
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event
wn30:synset-chief-adjectivesatellite-1 - frame:Expertise - frame:Attributes
wn30:synset-chief-adjectivesatellite-1 - frame:Importance
wn30:synset-chief-adjectivesatellite-1 - frame:First_rank
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event
","wn30:synset-writer-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne7,6,Self Conflict Paper block Assigning To Reviewer,[Self Conflict [C]] [Paper [C]] [block Assigning To Reviewer [P]] ,"frame:Hostile_encounter,frame:Appointing,","wn30:synset-self-noun-1,wn30:synset-conflict-noun-1,wn30:synset-paper-noun-1,wn30:synset-block-noun-1,wn30:synset-delegate-verb-2,wn30:synset-reviewer-noun-1,","wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
","wn30:synset-self-noun-1
wn30:synset-paper-noun-1
wn30:synset-block-noun-1
wn30:synset-reviewer-noun-1
",
inferred_paperdyne2,14,Program Comitee Chair rejects Paper reviews Reviewer bids For is In Conflict With,[Program Comitee Chair [C]] [rejects [P]] [Paper [C]] [reviews [P]] [Reviewer [C]] [bids For [P]] [is In Conflict With [P]] ,"frame:Project,frame:Purpose,frame:Agree_or_refuse_to_act,frame:Respond_to_proposal,frame:Hostile_encounter,","wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-refuse-verb-2,wn30:synset-paper-noun-1,wn30:synset-review-verb-1,wn30:synset-reviewer-noun-1,wn30:synset-offer-verb-7,wn30:synset-in-adverb-1,wn30:synset-conflict-noun-1,","wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-refuse-verb-2 - frame:Agree_or_refuse_to_act - frame:Respond_to_proposal
wn30:synset-refuse-verb-2 - frame:Respond_to_proposal
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
","wn30:synset-chair-noun-1
wn30:synset-paper-noun-1
wn30:synset-review-verb-1
wn30:synset-reviewer-noun-1
wn30:synset-offer-verb-7
","wn30:synset-in-adverb-1
"
inferred_paperdyne6,40,Speaker spoken By Paper speaks,[Speaker [C]] [spoken By [P]] [Paper [C]] [speaks [P]] ,"frame:Communication_manner,frame:Text_creation,frame:Statement,frame:Communication_manner,frame:Text_creation,frame:Statement,","wn30:synset-speaker-noun-1,wn30:synset-talk-verb-2,wn30:synset-by-adverb-1,wn30:synset-paper-noun-1,wn30:synset-talk-verb-2,","wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event
wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event
wn30:synset-talk-verb-2 - frame:Statement
wn30:synset-talk-verb-2 - frame:Communication_manner - frame:Event
wn30:synset-talk-verb-2 - frame:Text_creation - frame:Event
wn30:synset-talk-verb-2 - frame:Statement
","wn30:synset-speaker-noun-1
wn30:synset-paper-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne3,62,Review submits Paper Reviewer reviewed By is In Conflict With,[Review [C]] [submits [P]] [Paper [C]] [Reviewer [C]] [reviewed By [P]] [is In Conflict With [P]] ,"frame:Submitting_documents,frame:Hostile_encounter,","wn30:synset-review-verb-1,wn30:synset-submit-verb-1,wn30:synset-paper-noun-1,wn30:synset-reviewer-noun-1,wn30:synset-review-verb-1,wn30:synset-by-adverb-1,wn30:synset-in-adverb-1,wn30:synset-conflict-noun-1,","wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
","wn30:synset-review-verb-1
wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
wn30:synset-review-verb-1
","wn30:synset-by-adverb-1
wn30:synset-in-adverb-1
"
inferred_paperdyne5,6,refused By confirmes refuses Paper confirmed visible Reviewer block Assigning To Pending Proposed Conflict,[refused By [P]] [confirmes [P]] [refuses [P]] [Paper [C]] [confirmed By [P]] [visible By [P]] [Reviewer [C]] [block Assigning To Reviewer [P]] [Pending Proposed Conflict [C]] ,"frame:Verification,frame:Evidence,frame:Obviousness,frame:Appointing,frame:Statement,frame:Hostile_encounter,","wn30:synset-refuse-verb-1,wn30:synset-by-adverb-1,wn30:synset-refuse-verb-1,wn30:synset-paper-noun-1,wn30:synset-confirm-verb-1,wn30:synset-visible-adjective-1,wn30:synset-reviewer-noun-1,wn30:synset-block-noun-1,wn30:synset-delegate-verb-2,wn30:synset-propose-verb-1,wn30:synset-conflict-noun-1,","wn30:synset-confirm-verb-1 - frame:Verification - frame:Scrutiny
wn30:synset-confirm-verb-1 - frame:Evidence
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-propose-verb-1 - frame:Statement
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
","wn30:synset-refuse-verb-1
wn30:synset-refuse-verb-1
wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
wn30:synset-block-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne19,48,Discussion Program Comitee Chair takes Place Location Meeting organises Conference contains,[Discussion [C]] [Program Comitee Chair [C]] [takes Place [P]] [Location [C]] [Program Comitee Meeting [C]] [organises [P]] [Conference [C]] [contains [P]] ,"frame:Discussion,frame:Project,frame:Purpose,frame:Taking_time,frame:Have_as_requirement,frame:Placing,frame:Causation,frame:Locale,frame:Discussion,frame:Containing,frame:Inclusion,","wn30:synset-discussion-noun-2,wn30:synset-plan-noun-1,wn30:synset-chair-noun-1,wn30:synset-take-verb-2,wn30:synset-put-verb-1,wn30:synset-location-noun-1,wn30:synset-meeting-noun-1,wn30:synset-organize-verb-4,wn30:synset-conference-noun-1,wn30:synset-incorporate-verb-2,","wn30:synset-discussion-noun-2 - frame:Discussion - frame:Reciprocality
wn30:synset-plan-noun-1 - frame:Project
wn30:synset-plan-noun-1 - frame:Purpose
wn30:synset-take-verb-2 - frame:Taking_time - frame:Attributes
wn30:synset-take-verb-2 - frame:Have_as_requirement - frame:Contingency
wn30:synset-put-verb-1 - frame:Placing - frame:Event
wn30:synset-put-verb-1 - frame:Causation - frame:Event
wn30:synset-location-noun-1 - frame:Locale - frame:Locale
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality
wn30:synset-incorporate-verb-2 - frame:Containing - frame:Stateframe:Relation
wn30:synset-incorporate-verb-2 - frame:Inclusion
","wn30:synset-chair-noun-1
wn30:synset-meeting-noun-1
wn30:synset-organize-verb-4
",
inferred_paperdyne4,9,Review creates Paper Reviewer judges created By,[Review [C]] [creates [P]] [Paper [C]] [Reviewer [C]] [judges [P]] [created By [P]] ,"frame:Building,frame:Creating,frame:Intentionally_create,frame:Cause_to_start,frame:Coming_up_with,frame:Assessing,frame:Building,frame:Creating,frame:Intentionally_create,frame:Cause_to_start,frame:Coming_up_with,","wn30:synset-review-verb-1,wn30:synset-make-verb-3,wn30:synset-paper-noun-1,wn30:synset-reviewer-noun-1,wn30:synset-evaluate-verb-2,wn30:synset-make-verb-3,wn30:synset-by-adverb-1,","wn30:synset-make-verb-3 - frame:Building - frame:Event
wn30:synset-make-verb-3 - frame:Creating - frame:Event
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event
wn30:synset-make-verb-3 - frame:Coming_up_with
wn30:synset-evaluate-verb-2 - frame:Assessing - frame:Cogitation
wn30:synset-make-verb-3 - frame:Building - frame:Event
wn30:synset-make-verb-3 - frame:Creating - frame:Event
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event
wn30:synset-make-verb-3 - frame:Coming_up_with
","wn30:synset-review-verb-1
wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
","wn30:synset-by-adverb-1
"
inferred_paperdyne1,6,Paper Confirmed Conflict Reviewer block Assigning To visible By relates,[Paper [C]] [Confirmed Conflict [C]] [Reviewer [C]] [block Assigning To Reviewer [P]] [visible By [P]] [relates [P]] ,"frame:Verification,frame:Evidence,frame:Hostile_encounter,frame:Appointing,frame:Obviousness,frame:Make_cognitive_connection,frame:Relating_concepts,","wn30:synset-paper-noun-1,wn30:synset-confirm-verb-1,wn30:synset-conflict-noun-1,wn30:synset-reviewer-noun-1,wn30:synset-block-noun-1,wn30:synset-delegate-verb-2,wn30:synset-visible-adjective-1,wn30:synset-by-adverb-1,wn30:synset-associate-verb-1,","wn30:synset-confirm-verb-1 - frame:Verification - frame:Scrutiny
wn30:synset-confirm-verb-1 - frame:Evidence
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes
wn30:synset-associate-verb-1 - frame:Make_cognitive_connection
wn30:synset-associate-verb-1 - frame:Relating_concepts - frame:Cognitive_connection
","wn30:synset-paper-noun-1
wn30:synset-reviewer-noun-1
wn30:synset-block-noun-1
","wn30:synset-by-adverb-1
"
